branch	branch_descendants	Turdus_merula	Cataponera_turdoides	Turdus_niveiceps_NRM569330	Tp_mindorensis_AMNH575605	Turdus_pallidus_UWBM75229	Turdus_celaenops_NRM90188019	Turdus_chrysolaus_orii_UWBM83174	Turdus_feae_BMNH1905910913	Turdus_obscurus_UWBM78352	Tp_sspunknown_FMNH358378	Tp_thomassoni_AMNH416872	Tp_mayonensis_ZMUC02632	Tp_nigrorum_ZMUC138023	Tp_sspunknown_CMCB36870	Tp_malindangensis_ZMUC141794	Tp_deningeri_ZMUC148358	Tp_katanglad_ZMUC138022	Tp_seebohmi_AMNH575639	Tp_kelleri_ZMUC141795	Tp_sspunknown_CMCB37307	Tp_stresemanni_RMNH81993	Tp_erythropleurus_AMNH768697	Tp_erythropleurus_AMNH338105	Tp_versteegi_AMNH340312	Tp_whiteheadi_AMNH575625	Tp_sterlingi_AMNH345801	Tp_schlegelii_AMNH345779	Tp_celebensis_AMNH299444	Tp_hygroscopus_AMNH12571	Tp_papuensis_ZMUC150143	Tp_beehleri_USNM584915	Tp_bougainvillei_AMNH226224	Tp_papuensis_ZMUC192303	Tp_papuensis_AMNH19847	Tp_tolokiwae_AMNH836154	Tp_heinrothi_AMNH575398	Tp_javanicus_AMNH575611	Tp_fumidus_NRM569331	Tp_indrapurae_AMNH575637	Tp_loeseri_YPM41020	Tp_kulambangrae_AMNH215	Tp_sladeni_AMNH22868	Tp_rennellianus_AMNH6594	Tp_whitneyi_AMNH21512	Tp_placens_AMNH21538	Tp_xanthopus_AMNH575554	Tp_albifrons_AMNH336537	Tp_efatensis_AMNH21349	Tp_efatensis_AMNH213129	Tp_pritzbueri_RMNH146375	Tp_mareensis_AMNH575490	Tp_becki_AMNH213163	Tp_vinitinctus_AMNH575436	Tp_poliocephalus_AMNH454235	Tp_pritzbueri_AMNH336817	Tp_sspunknown_AMNH336962	Tp_malekulae_AMNH216313	Tp_hades_AMNH223922	Tp_samoensis_AMNH206154	Tp_samoensis_AMNH206897	Tp_malekulae_AMNH21367	Tp_malekulae_AMNH214424	Tp_becki_AMNH213123	Tp_becki_AMNH213130	Tp_becki_AMNH213136	Tp_ruficeps_AMNH252598	Tp_placens_AMNH216295	Tp_tempesti_AMNH252562	Tp_vanikorensis_AMNH214400	Tp_vitiensis_AMNH223923	Tp_vanikorensis_AMNH214440	Tp_vanikorensis_AMNH214427	Tp_layardi_AMNH252626	Tp_layardi_AMNH252636	Tp_layardi_AMNH252627	Tp_layardi_AMNH252655
b22	Tp_nigrorum_ZMUC138023,Tp_sspunknown_CMCB36870,Tp_malindangensis_ZMUC141794,Tp_katanglad_ZMUC138022,Tp_kelleri_ZMUC141795,Tp_sspunknown_CMCB37307	nan	0	0	0	0	0	0	0	0	0.020418	0.0274416	0.023605	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
b23	Tp_erythropleurus_AMNH768697,Tp_erythropleurus_AMNH338105,Tp_sterlingi_AMNH345801,Tp_schlegelii_AMNH345779,Tp_celebensis_AMNH299444,Tp_hygroscopus_AMNH12571,Tp_seebohmi_AMNH575639,Tp_stresemanni_RMNH81993,Tp_whiteheadi_AMNH575625,Tp_javanicus_AMNH575611,Tp_fumidus_NRM569331,Tp_indrapurae_AMNH575637,Tp_loeseri_YPM41020,Tp_deningeri_ZMUC148358,Tp_versteegi_AMNH340312,Tp_papuensis_ZMUC150143,Tp_papuensis_ZMUC192303,Tp_papuensis_AMNH19847,Tp_beehleri_USNM584915,Tp_tolokiwae_AMNH836154,Tp_heinrothi_AMNH575398,Tp_bougainvillei_AMNH226224,Tp_kulambangrae_AMNH215,Tp_sladeni_AMNH22868,Tp_rennellianus_AMNH6594,Tp_efatensis_AMNH21349,Tp_efatensis_AMNH213129,Tp_becki_AMNH213163,Tp_malekulae_AMNH214424,Tp_becki_AMNH213123,Tp_becki_AMNH213130,Tp_becki_AMNH213136,Tp_mareensis_AMNH575490,Tp_malekulae_AMNH216313,Tp_malekulae_AMNH21367,Tp_placens_AMNH216295,Tp_vanikorensis_AMNH214400,Tp_vanikorensis_AMNH214440,Tp_vanikorensis_AMNH214427,Tp_whitneyi_AMNH21512,Tp_placens_AMNH21538,Tp_albifrons_AMNH336537,Tp_pritzbueri_RMNH146375,Tp_pritzbueri_AMNH336817,Tp_sspunknown_AMNH336962,Tp_xanthopus_AMNH575554,Tp_vinitinctus_AMNH575436,Tp_poliocephalus_AMNH454235,Tp_samoensis_AMNH206154,Tp_samoensis_AMNH206897,Tp_hades_AMNH223922,Tp_ruficeps_AMNH252598,Tp_tempesti_AMNH252562,Tp_vitiensis_AMNH223923,Tp_layardi_AMNH252626,Tp_layardi_AMNH252636,Tp_layardi_AMNH252627,Tp_layardi_AMNH252655	nan	0	0	0	0	0	0	0	0	0	0	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
b24	Tp_thomassoni_AMNH416872	nan	0	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b25	Tp_mayonensis_ZMUC02632	nan	0.0259277	0.0276779	0.0207327	0.0230772	0.0191838	0.0276873	0.0245902	0.0305097	0.028829	nan	nan	0.0220552	0.029818	0.0173713	0.0282627	0.0172649	0	0	0.0284917	0	0	0.0169579	0.0200573	0	0	0.0176055	0.0182775	0.0238285	0.0252431	0.0238755	0.021584	0.0251077	0.0257337	0.0236676	0.0231113	0	0	0.0197435	0	0.0224728	0.0244016	0.0244094	0.0245425	0.0262762	0.0189491	0.0196871	0.0262703	0.0220631	0.0188525	0.0223212	0.0237338	0.0194758	0.020212	0.0184284	0.0186591	0.0225118	0.0209213	0.0189741	0.0178581	0.0260736	0.0208654	0.0210595	0.0195096	0.021086	0.0185667	0.0219745	0.0177609	0.0223294	0.0193183	0.0225508	0.0204761	0.0199044	0.0211047	0.0207032	0
b26	Tp_nigrorum_ZMUC138023,Tp_sspunknown_CMCB36870	nan	0.0102533	0.0232433	0.0597428	0.015192	0	0.0144728	0.00711496	0.0147311	0.03188	0.024262	0.0275938	nan	nan	nan	0	nan	0	nan	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b27	Tp_malindangensis_ZMUC141794,Tp_katanglad_ZMUC138022,Tp_kelleri_ZMUC141795,Tp_sspunknown_CMCB37307	nan	0	0	0	0	0	0	0	0	0	0	0	nan	nan	nan	0.0190208	nan	0.0408538	nan	nan	0.0182171	0.0151202	0.0160084	0.0158433	0.0293133	0.0268498	0.0170705	0.017267	0.0171097	0.0167562	0.0154119	0.0136179	0.0164465	0.0159966	0.0144731	0.0146701	0.0300371	0.0188586	0.0187666	0.0179558	0.0152609	0.0156044	0.0155344	0.0132327	0.0151304	0.0142385	0.0139891	0.0144936	0.0144242	0.0142202	0.014657	0.0266788	0.0112049	0.0112015	0.0128699	0.012497	0.0256362	0.012787	0.0137698	0.0128951	0.0152061	0.0158912	0.016457	0.0154089	0.0144947	0.0126109	0.0147431	0.0118705	0.0143849	0.0123867	0.0161864	0.0140305	0.0133173	0.0137129	0.0121721	0.0122908
b28	Tp_erythropleurus_AMNH768697,Tp_erythropleurus_AMNH338105,Tp_sterlingi_AMNH345801,Tp_schlegelii_AMNH345779,Tp_celebensis_AMNH299444,Tp_hygroscopus_AMNH12571,Tp_seebohmi_AMNH575639,Tp_stresemanni_RMNH81993,Tp_whiteheadi_AMNH575625,Tp_javanicus_AMNH575611,Tp_fumidus_NRM569331,Tp_indrapurae_AMNH575637,Tp_loeseri_YPM41020	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan	0	nan	0	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
b29	Tp_deningeri_ZMUC148358,Tp_versteegi_AMNH340312,Tp_papuensis_ZMUC150143,Tp_papuensis_ZMUC192303,Tp_papuensis_AMNH19847,Tp_beehleri_USNM584915,Tp_tolokiwae_AMNH836154,Tp_heinrothi_AMNH575398,Tp_bougainvillei_AMNH226224,Tp_kulambangrae_AMNH215,Tp_sladeni_AMNH22868,Tp_rennellianus_AMNH6594,Tp_efatensis_AMNH21349,Tp_efatensis_AMNH213129,Tp_becki_AMNH213163,Tp_malekulae_AMNH214424,Tp_becki_AMNH213123,Tp_becki_AMNH213130,Tp_becki_AMNH213136,Tp_mareensis_AMNH575490,Tp_malekulae_AMNH216313,Tp_malekulae_AMNH21367,Tp_placens_AMNH216295,Tp_vanikorensis_AMNH214400,Tp_vanikorensis_AMNH214440,Tp_vanikorensis_AMNH214427,Tp_whitneyi_AMNH21512,Tp_placens_AMNH21538,Tp_albifrons_AMNH336537,Tp_pritzbueri_RMNH146375,Tp_pritzbueri_AMNH336817,Tp_sspunknown_AMNH336962,Tp_xanthopus_AMNH575554,Tp_vinitinctus_AMNH575436,Tp_poliocephalus_AMNH454235,Tp_samoensis_AMNH206154,Tp_samoensis_AMNH206897,Tp_hades_AMNH223922,Tp_ruficeps_AMNH252598,Tp_tempesti_AMNH252562,Tp_vitiensis_AMNH223923,Tp_layardi_AMNH252626,Tp_layardi_AMNH252636,Tp_layardi_AMNH252627,Tp_layardi_AMNH252655	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan	0	nan	0	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
b30	Tp_nigrorum_ZMUC138023	nan	0	0	0.0287381	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b31	Tp_sspunknown_CMCB36870	nan	0	0	0	0.0172666	0	0	0	0	0	0	0.0228145	nan	nan	0	0.0247932	0.0256469	0.0212064	0.0286547	0.0304207	0.0223413	0	0.0218233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.023558	0.0231279	0.0241533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b32	Tp_katanglad_ZMUC138022,Tp_kelleri_ZMUC141795,Tp_sspunknown_CMCB37307	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	nan	0	nan	0	nan	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b33	Tp_malindangensis_ZMUC141794	nan	0	0	0	0	0	0	0	0	0	0	0	0.0320117	0.023452	nan	0	nan	0	nan	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b34	Tp_seebohmi_AMNH575639,Tp_stresemanni_RMNH81993,Tp_whiteheadi_AMNH575625,Tp_javanicus_AMNH575611,Tp_fumidus_NRM569331,Tp_indrapurae_AMNH575637,Tp_loeseri_YPM41020	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan	0	0	nan	nan	nan	0	nan	nan	nan	nan	nan	0	0	0	0	0	0	0	nan	nan	nan	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b35	Tp_erythropleurus_AMNH768697,Tp_erythropleurus_AMNH338105,Tp_sterlingi_AMNH345801,Tp_schlegelii_AMNH345779,Tp_celebensis_AMNH299444,Tp_hygroscopus_AMNH12571	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan	0	0	nan	nan	nan	0	nan	nan	nan	nan	nan	0	0	0	0	0	0	0	nan	nan	nan	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b36	Tp_deningeri_ZMUC148358	nan	0	0	0	0	0.0166262	0	0	0	0.0220464	0	0.0226746	0	0	0	nan	0	0.0567678	0	0	0.0640834	0.0667039	0.0653371	nan	0.0575261	0.0666329	0.0694066	0.063816	0.0722266	nan	nan	nan	nan	nan	nan	nan	0.0644887	0.0651578	0.0601416	0.0589648	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
b37	Tp_versteegi_AMNH340312,Tp_papuensis_ZMUC150143,Tp_papuensis_ZMUC192303,Tp_papuensis_AMNH19847,Tp_beehleri_USNM584915,Tp_tolokiwae_AMNH836154,Tp_heinrothi_AMNH575398,Tp_bougainvillei_AMNH226224,Tp_kulambangrae_AMNH215,Tp_sladeni_AMNH22868,Tp_rennellianus_AMNH6594,Tp_efatensis_AMNH21349,Tp_efatensis_AMNH213129,Tp_becki_AMNH213163,Tp_malekulae_AMNH214424,Tp_becki_AMNH213123,Tp_becki_AMNH213130,Tp_becki_AMNH213136,Tp_mareensis_AMNH575490,Tp_malekulae_AMNH216313,Tp_malekulae_AMNH21367,Tp_placens_AMNH216295,Tp_vanikorensis_AMNH214400,Tp_vanikorensis_AMNH214440,Tp_vanikorensis_AMNH214427,Tp_whitneyi_AMNH21512,Tp_placens_AMNH21538,Tp_albifrons_AMNH336537,Tp_pritzbueri_RMNH146375,Tp_pritzbueri_AMNH336817,Tp_sspunknown_AMNH336962,Tp_xanthopus_AMNH575554,Tp_vinitinctus_AMNH575436,Tp_poliocephalus_AMNH454235,Tp_samoensis_AMNH206154,Tp_samoensis_AMNH206897,Tp_hades_AMNH223922,Tp_ruficeps_AMNH252598,Tp_tempesti_AMNH252562,Tp_vitiensis_AMNH223923,Tp_layardi_AMNH252626,Tp_layardi_AMNH252636,Tp_layardi_AMNH252627,Tp_layardi_AMNH252655	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan	0	0	0	0	0	0	0	nan	0	0	0	0	0	nan	nan	nan	nan	nan	nan	nan	0	0	0	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
b38	Tp_katanglad_ZMUC138022	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0621551	0	nan	0	nan	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b39	Tp_kelleri_ZMUC141795,Tp_sspunknown_CMCB37307	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan	0	nan	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b40	Tp_stresemanni_RMNH81993,Tp_whiteheadi_AMNH575625,Tp_javanicus_AMNH575611,Tp_fumidus_NRM569331,Tp_indrapurae_AMNH575637,Tp_loeseri_YPM41020	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0533148	0	nan	0	0	nan	0.100328	0.102621	0.0475503	nan	0.0687856	0.0733638	0.0715709	0.0762864	0.0427804	0.0438432	0.0454674	0.0482913	0.0503583	0.0463207	0.0417499	nan	nan	nan	nan	0.0424114	0.0436023	0.0438217	0.0431431	0.0460005	0.0432761	0.0413636	0.0432699	0.0416212	0.0383756	0.0448878	0.0432501	0.0431935	0.0413485	0.039416	0.0415757	0.0446952	0.0404535	0.041021	0.0407948	0.0446605	0.041093	0.0433705	0.0421674	0.0453038	0.040078	0.0442448	0.0383965	0.0440954	0.0403955	0.0404947	0.0449216	0.04262	0.0400851	0.0401782	0.0394534
b41	Tp_seebohmi_AMNH575639	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0381243	0	0.0396413	nan	0.0353449	0.0404833	nan	0	0	0	nan	0	0	0	0	0	0	0	0	0	0	0	nan	nan	nan	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b42	Tp_sterlingi_AMNH345801,Tp_schlegelii_AMNH345779,Tp_celebensis_AMNH299444,Tp_hygroscopus_AMNH12571	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan	nan	0	0	nan	nan	nan	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b43	Tp_erythropleurus_AMNH768697,Tp_erythropleurus_AMNH338105	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.102477	0	0	0.134724	nan	nan	0	0.144788	nan	nan	nan	nan	0	0	0	0	0	0	0	0.14017	0.137808	0.132905	0.133403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b44	Tp_versteegi_AMNH340312,Tp_papuensis_ZMUC150143,Tp_papuensis_ZMUC192303,Tp_papuensis_AMNH19847	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan	0	0	0	0	0	nan	nan	nan	nan	nan	nan	nan	0	0	0	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
b45	Tp_beehleri_USNM584915,Tp_tolokiwae_AMNH836154,Tp_heinrothi_AMNH575398,Tp_bougainvillei_AMNH226224,Tp_kulambangrae_AMNH215,Tp_sladeni_AMNH22868,Tp_rennellianus_AMNH6594,Tp_efatensis_AMNH21349,Tp_efatensis_AMNH213129,Tp_becki_AMNH213163,Tp_malekulae_AMNH214424,Tp_becki_AMNH213123,Tp_becki_AMNH213130,Tp_becki_AMNH213136,Tp_mareensis_AMNH575490,Tp_malekulae_AMNH216313,Tp_malekulae_AMNH21367,Tp_placens_AMNH216295,Tp_vanikorensis_AMNH214400,Tp_vanikorensis_AMNH214440,Tp_vanikorensis_AMNH214427,Tp_whitneyi_AMNH21512,Tp_placens_AMNH21538,Tp_albifrons_AMNH336537,Tp_pritzbueri_RMNH146375,Tp_pritzbueri_AMNH336817,Tp_sspunknown_AMNH336962,Tp_xanthopus_AMNH575554,Tp_vinitinctus_AMNH575436,Tp_poliocephalus_AMNH454235,Tp_samoensis_AMNH206154,Tp_samoensis_AMNH206897,Tp_hades_AMNH223922,Tp_ruficeps_AMNH252598,Tp_tempesti_AMNH252562,Tp_vitiensis_AMNH223923,Tp_layardi_AMNH252626,Tp_layardi_AMNH252636,Tp_layardi_AMNH252627,Tp_layardi_AMNH252655	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan	0	0	0	0	0	nan	nan	nan	nan	nan	nan	nan	0	0	0	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
b46	Tp_kelleri_ZMUC141795	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0212331	0	0	0	nan	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b47	Tp_sspunknown_CMCB37307	nan	0.0249504	0.027582	0	0.0224827	0.0182111	0.0163715	0.0156119	0.0196297	0	0	0.0190934	0	0	0	0.0215036	0	0.017883	nan	nan	0	0	0	0.0188753	0	0	0	0	0.0180883	0.0231412	0.0187954	0	0.024264	0.023951	0.0203814	0	0	0	0	0	0.0228009	0.021246	0.0229436	0.0228134	0.0219749	0	0	0.0233995	0.0202974	0	0.018735	0.0185322	0.0203431	0.0200928	0.018701	0.0187085	0.0187016	0.0215732	0	0.0199996	0.026422	0.0192759	0.0197281	0.0194765	0.0182208	0.0195244	0.0201164	0.0197968	0.0189301	0	0.0192545	0.0185357	0.0196561	0.0203341	0.0199139	0.0194072
b48	Tp_stresemanni_RMNH81993	nan	0	0	0	0	0	0	0	0	0.0509099	0.108665	0.0605342	0	0	0	0	0	0	0	0	nan	0	0	0	nan	0	0	0	0	0	0	0	0	0	0	0	nan	nan	nan	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b49	Tp_whiteheadi_AMNH575625,Tp_javanicus_AMNH575611,Tp_fumidus_NRM569331,Tp_indrapurae_AMNH575637,Tp_loeseri_YPM41020	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0475111	0	0	nan	0	0	0	nan	0	0	0	0	0	0	0	0	0	0	0	nan	nan	nan	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b50	Tp_sterlingi_AMNH345801,Tp_schlegelii_AMNH345779	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0552496	0.0542138	0	0	nan	nan	nan	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b51	Tp_celebensis_AMNH299444,Tp_hygroscopus_AMNH12571	nan	0	0	0	0	0.0119104	0	0	0.0124347	0	0	0	0	0	0	0	0	0.0320629	0	0	0.017789	0	0	0	0.0387221	nan	nan	nan	nan	0	0	0	0	0	0	0	0.0350974	0.0357677	0.0335514	0.0328731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b52	Tp_erythropleurus_AMNH768697	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b53	Tp_erythropleurus_AMNH338105	nan	0	0	0	0	0	0	0	0	0	0	0.0330688	0	0	0	0	0	0	0	0	0	nan	nan	0.0337238	0	0	0	0	0	0.0344087	0	0	0.0322295	0.0338141	0	0	0	0	0	0	0	0	0	0.033775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b54	Tp_versteegi_AMNH340312	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan	0	0	0	0	0	nan	0	0	nan	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b55	Tp_papuensis_ZMUC150143,Tp_papuensis_ZMUC192303,Tp_papuensis_AMNH19847	nan	0	0.0260761	0.023895	0.0335346	0	0.0254728	0.0219612	0.0265809	0	0	0.0220069	0	0	0	0	0	0	0	0	0	0	0	nan	0	0	0	0	0	nan	0	0.0287723	nan	nan	0	0	0	0	0	0	0.0322856	0.0439868	0.0354397	0.0325211	0.0347737	0	0	0.0387874	0.0297973	0	0.0318036	0.0329065	0.0285298	0.0289271	0.0264427	0.028151	0.0276361	0	0	0	0.0390904	0.0313532	0.0311058	0.029884	0.0344529	0	0.0270512	0	0.0273721	0	0.0311709	0.0305401	0	0	0.0262675	0
b56	Tp_beehleri_USNM584915,Tp_tolokiwae_AMNH836154,Tp_heinrothi_AMNH575398	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan	nan	0	0	nan	nan	0	0	0	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
b57	Tp_bougainvillei_AMNH226224,Tp_kulambangrae_AMNH215,Tp_sladeni_AMNH22868,Tp_rennellianus_AMNH6594,Tp_efatensis_AMNH21349,Tp_efatensis_AMNH213129,Tp_becki_AMNH213163,Tp_malekulae_AMNH214424,Tp_becki_AMNH213123,Tp_becki_AMNH213130,Tp_becki_AMNH213136,Tp_mareensis_AMNH575490,Tp_malekulae_AMNH216313,Tp_malekulae_AMNH21367,Tp_placens_AMNH216295,Tp_vanikorensis_AMNH214400,Tp_vanikorensis_AMNH214440,Tp_vanikorensis_AMNH214427,Tp_whitneyi_AMNH21512,Tp_placens_AMNH21538,Tp_albifrons_AMNH336537,Tp_pritzbueri_RMNH146375,Tp_pritzbueri_AMNH336817,Tp_sspunknown_AMNH336962,Tp_xanthopus_AMNH575554,Tp_vinitinctus_AMNH575436,Tp_poliocephalus_AMNH454235,Tp_samoensis_AMNH206154,Tp_samoensis_AMNH206897,Tp_hades_AMNH223922,Tp_ruficeps_AMNH252598,Tp_tempesti_AMNH252562,Tp_vitiensis_AMNH223923,Tp_layardi_AMNH252626,Tp_layardi_AMNH252636,Tp_layardi_AMNH252627,Tp_layardi_AMNH252655	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan	nan	0	0	nan	nan	0	0	0	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
